# Matter power spectrum P(k) at redshift z=0
# for k=2.09468e-07 to 54.0596 h/Mpc,
# number of wavenumbers equal to 6840
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.919091546186e-04       1.190625472216e+03 
       2.929750937885e-04       1.194802653856e+03 
       2.940438603416e-04       1.198990194697e+03 
       2.951154691598e-04       1.203188148811e+03 
       2.961899351954e-04       1.207396570497e+03 
       2.972672734717e-04       1.211615514288e+03 
       2.983474990829e-04       1.215845034946e+03 
       2.994306271947e-04       1.220085187469e+03 
       3.005166730443e-04       1.224336027087e+03 
       3.016056519409e-04       1.228597609264e+03 
       3.026975792658e-04       1.232869989700e+03 
       3.037924704730e-04       1.237153224331e+03 
       3.048903410888e-04       1.241447369328e+03 
       3.059912067130e-04       1.245752481101e+03 
       3.070950830185e-04       1.250068616296e+03 
       3.082019857516e-04       1.254395831801e+03 
       3.093119307328e-04       1.258734184739e+03 
       3.104249338563e-04       1.263083732476e+03 
       3.115410110910e-04       1.267444532617e+03 
       3.126601784803e-04       1.271816643009e+03 
       3.137824521426e-04       1.276200121742e+03 
       3.149078482712e-04       1.280595027146e+03 
       3.160363831352e-04       1.285001417797e+03 
       3.171680730790e-04       1.289419352511e+03 
       3.183029345234e-04       1.293848890353e+03 
       3.194409839650e-04       1.298290090630e+03 
       3.205822379770e-04       1.302743012895e+03 
       3.217267132092e-04       1.307207716946e+03 
       3.228744263886e-04       1.311684262831e+03 
       3.240253943191e-04       1.316172710841e+03 
       3.251796338821e-04       1.320673121519e+03 
       3.263371620369e-04       1.325185555651e+03 
       3.274979958204e-04       1.329710074277e+03 
       3.286621523478e-04       1.334246738682e+03 
       3.298296488127e-04       1.338795610403e+03 
       3.310005024871e-04       1.343356751226e+03 
       3.321747307222e-04       1.347930223188e+03 
       3.333523509480e-04       1.352516088577e+03 
       3.345333806737e-04       1.357114409932e+03 
       3.357178374883e-04       1.361725250044e+03 
       3.369057390601e-04       1.366348671955e+03 
       3.380971031378e-04       1.370984738961e+03 
       3.392919475498e-04       1.375633514610e+03 
       3.404902902051e-04       1.380295062703e+03 
       3.416921490930e-04       1.384969447294e+03 
       3.428975422838e-04       1.389656732693e+03 
       3.441064879286e-04       1.394356983460e+03 
       3.453190042596e-04       1.399070264413e+03 
       3.465351095902e-04       1.403796640623e+03 
       3.477548223154e-04       1.408536177414e+03 
       3.489781609120e-04       1.413288940367e+03 
       3.502051439382e-04       1.418054995318e+03 
       3.514357900347e-04       1.422834408357e+03 
       3.526701179240e-04       1.427627245829e+03 
       3.539081464111e-04       1.432433574336e+03 
       3.551498943835e-04       1.437253460735e+03 
       3.563953808111e-04       1.442086972138e+03 
       3.576446247470e-04       1.446934175912e+03 
       3.588976453268e-04       1.451795139681e+03 
       3.601544617694e-04       1.456669931324e+03 
       3.614150933767e-04       1.461558618976e+03 
       3.626795595343e-04       1.466461271026e+03 
       3.639478797107e-04       1.471377956120e+03 
       3.652200734585e-04       1.476308743160e+03 
       3.664961604135e-04       1.481253701302e+03 
       3.677761602956e-04       1.486212899956e+03 
       3.690600929083e-04       1.491186408790e+03 
       3.703479781394e-04       1.496174297723e+03 
       3.716398359604e-04       1.501176636932e+03 
       3.729356864273e-04       1.506193496846e+03 
       3.742355496798e-04       1.511224948149e+03 
       3.755394459425e-04       1.516271061778e+03 
       3.768473955238e-04       1.521331908924e+03 
       3.781594188169e-04       1.526407561030e+03 
       3.794755362991e-04       1.531498089792e+03 
       3.807957685325e-04       1.536603567159e+03 
       3.821201361635e-04       1.541724065330e+03 
       3.834486599232e-04       1.546859656756e+03 
       3.847813606273e-04       1.552010414139e+03 
       3.861182591759e-04       1.557176410431e+03 
       3.874593765540e-04       1.562357718832e+03 
       3.888047338308e-04       1.567554412794e+03 
       3.901543521605e-04       1.572766566013e+03 
       3.915082527817e-04       1.577994252437e+03 
       3.928664570175e-04       1.583237546257e+03 
       3.942289862756e-04       1.588496521913e+03 
       3.955958620482e-04       1.593771254089e+03 
       3.969671059120e-04       1.599061817713e+03 
       3.983427395278e-04       1.604368287958e+03 
       3.997227846412e-04       1.609690740238e+03 
       4.011072630815e-04       1.615029250211e+03 
       4.024961967626e-04       1.620383893773e+03 
       4.038896076822e-04       1.625754747061e+03 
       4.052875179222e-04       1.631141886453e+03 
       4.066899496482e-04       1.636545388562e+03 
       4.080969251096e-04       1.641965330237e+03 
       4.095084666394e-04       1.647401788565e+03 
       4.109245966541e-04       1.652854840865e+03 
       4.123453376535e-04       1.658324564690e+03 
       4.137707122206e-04       1.663811037824e+03 
       4.152007430214e-04       1.669314338282e+03 
       4.166354528048e-04       1.674834544307e+03 
       4.180748644022e-04       1.680371734370e+03 
       4.195190007276e-04       1.685925987168e+03 
       4.209678847770e-04       1.691497381623e+03 
       4.224215396288e-04       1.697085996879e+03 
       4.238799884427e-04       1.702691912301e+03 
       4.253432544603e-04       1.708315207476e+03 
       4.268113610044e-04       1.713955962206e+03 
       4.282843314786e-04       1.719614256512e+03 
       4.297621893676e-04       1.725290170627e+03 
       4.312449582364e-04       1.730983784999e+03 
       4.327326617299e-04       1.736695180285e+03 
       4.342253235732e-04       1.742424437352e+03 
       4.357229675708e-04       1.748171637272e+03 
       4.372256176063e-04       1.753936861325e+03 
       4.387332976421e-04       1.759720190990e+03 
       4.402460317192e-04       1.765521707950e+03 
       4.417638439566e-04       1.771341494083e+03 
       4.432867585509e-04       1.777179631467e+03 
       4.448147997763e-04       1.783036202370e+03 
       4.463479919835e-04       1.788911289254e+03 
       4.478863596000e-04       1.794804974770e+03 
       4.494299271289e-04       1.800717341754e+03 
       4.509787191492e-04       1.806648473227e+03 
       4.525327603149e-04       1.812598452393e+03 
       4.540920753544e-04       1.818567362632e+03 
